user_id,1-Fri,1-Mon,1-Sat,1-Sun,1-Thu,1-Tue,1-Wed,2-Fri,2-Mon,2-Sat,2-Sun,2-Thu,2-Tue,2-Wed,3-Fri,3-Mon,3-Sat,3-Sun,3-Thu,3-Tue,3-Wed,4-Fri,4-Mon,4-Sat,4-Sun,4-Thu,4-Tue,4-Wed,5-Fri,5-Mon,5-Sat,5-Sun,5-Thu,5-Tue,5-Wed
920,9790.0,31780.0,1950.0,24360.0,11420.0,7210.0,45560.0,0.0,3750.0,0.0,54610.0,7160.0,12170.0,0.0,0.0,0.0,91090.0,0.0,36280.0,168780.0,0.0,0.0,0.0,11860.0,0.0,0.0,0.0,0.0,224080.0,109620.0,203570.0,26140.0,20470.0,10690.0,22770.0
921,135700.0,12930.0,12570.0,11420.0,15040.0,6110.0,30600.0,670.0,0.0,7760.0,21460.0,22970.0,8180.0,1310.0,0.0,19080.0,28230.0,58810.0,22610.0,9160.0,25380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448700.0,184090.0,7630.0,43920.0,37310.0,20150.0,40860.0
922,13260.0,41980.0,14540.0,28220.0,13980.0,5360.0,13380.0,46370.0,11170.0,2360.0,2790.0,0.0,0.0,3120.0,62720.0,115230.0,13840.0,0.0,19830.0,59940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206310.0,146120.0,213580.0,79780.0,94290.0,14400.0
923,13340.0,108540.0,8050.0,9070.0,29270.0,6250.0,31930.0,12880.0,31170.0,15710.0,0.0,20240.0,1750.0,15610.0,0.0,169110.0,127520.0,83880.0,22280.0,0.0,68670.0,0.0,0.0,0.0,0.0,0.0,0.0,7900.0,2780.0,117980.0,179190.0,4230.0,51250.0,11210.0,204280.0
924,28050.0,32470.0,11830.0,31480.0,37530.0,44830.0,12440.0,0.0,9290.0,8170.0,24040.0,20550.0,0.0,12530.0,0.0,24840.0,0.0,153540.0,102460.0,99170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5190.0,53240.0,544370.0,116540.0,4810.0,263000.0,440440.0
925,15230.0,11220.0,860.0,3740.0,12440.0,4760.0,13680.0,0.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,17350.0,27190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74190.0,43480.0,9560.0,56810.0,83190.0,15560.0,0.0
926,16080.0,13230.0,5460.0,3960.0,5170.0,13990.0,2650.0,3830.0,16310.0,2070.0,10120.0,106010.0,38280.0,72560.0,81270.0,29800.0,53840.0,20850.0,0.0,24870.0,32910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10730.0,1152880.0,152760.0,92060.0,118540.0,131070.0,425250.0
927,6740.0,47170.0,26370.0,8390.0,16450.0,3690.0,41060.0,0.0,57720.0,5120.0,0.0,7590.0,24460.0,12100.0,83700.0,92160.0,92820.0,150860.0,3380.0,51740.0,111290.0,0.0,2130.0,0.0,0.0,0.0,0.0,0.0,36200.0,231900.0,47460.0,108340.0,118640.0,2150.0,237230.0
928,38490.0,12720.0,103820.0,3200.0,15930.0,20310.0,39780.0,0.0,0.0,12310.0,1220.0,36380.0,35080.0,12610.0,61610.0,69880.0,106190.0,28090.0,259880.0,216710.0,0.0,0.0,0.0,0.0,0.0,0.0,35800.0,0.0,0.0,844540.0,224190.0,2830.0,28640.0,23060.0,241010.0
929,9560.0,15260.0,3740.0,27890.0,12850.0,4680.0,8140.0,21410.0,38160.0,14500.0,1900.0,2310.0,0.0,7390.0,8380.0,8100.0,14780.0,0.0,75350.0,57490.0,38200.0,0.0,0.0,0.0,6850.0,0.0,0.0,0.0,41110.0,95990.0,94620.0,38620.0,1700.0,280.0,16280.0
930,4450.0,18890.0,15370.0,1250.0,8680.0,6270.0,11670.0,0.0,0.0,17210.0,54110.0,0.0,0.0,69400.0,45270.0,0.0,107600.0,62750.0,46450.0,631450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218700.0,2435950.0,134740.0,1278730.0,203220.0,66250.0,236340.0
931,8470.0,16580.0,26580.0,2970.0,4500.0,7780.0,20830.0,0.0,45430.0,42390.0,44610.0,36930.0,280740.0,22780.0,19490.0,241220.0,40680.0,33690.0,0.0,0.0,116790.0,0.0,0.0,0.0,9880.0,0.0,0.0,0.0,273380.0,18110.0,25570.0,124320.0,97360.0,162620.0,425810.0
932,22560.0,25870.0,5130.0,11710.0,5500.0,9020.0,8080.0,0.0,1170.0,3310.0,37840.0,0.0,10390.0,8650.0,0.0,0.0,0.0,0.0,0.0,11180.0,61780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61530.0,8930.0,0.0,16020.0,2120.0,126820.0,0.0
933,34950.0,42280.0,21710.0,12370.0,25170.0,30550.0,19050.0,1130.0,58260.0,50790.0,0.0,44400.0,3070.0,1820.0,0.0,82790.0,0.0,114380.0,116610.0,30060.0,17210.0,0.0,0.0,0.0,0.0,0.0,0.0,2970.0,55680.0,25050.0,108990.0,78050.0,252560.0,445850.0,211540.0
934,11420.0,22330.0,2070.0,13170.0,5790.0,4280.0,530.0,1320.0,0.0,0.0,980.0,0.0,0.0,0.0,1850.0,17580.0,1450.0,13860.0,0.0,12700.0,0.0,0.0,88910.0,0.0,0.0,0.0,0.0,0.0,37110.0,68820.0,0.0,157300.0,9200.0,80730.0,36280.0
